Taxa	E474001	E474001_2	E474005	E474005_2	E474014	E474014_2	E474043	E474043_2	E474079	E474079_2	E474086	E474086_2	E474091	E474091_2	E474099	E474099_2	E474103	E474103_2	E474107	E474107_2	E474143	E474143_2	E474148	E474148_2	E474160	E474160_2	E474175	E474175_2	E474179	E474179_2	E474198	E474198_2	E474207	E474207_2	E474217	E474217_2	E474237	E474237_2	E478618	E478618_2	E478631	E478631_2	E478635	E478635_2	E478639	E478639_2	E478655	E478655_2	E478672	E478672_2	E478677	E478677_2	E478685	E478685_2	E478689	E478689_2	E478706	E478706_2	E478732	E478732_2	E478745	E478745_2	E478748	E478748_2	E478752	E478752_2	E478847	E478847_2	E478851	E478851_2	E478867	E478867_2	E478887	E478887_2	E478895	E478895_2	E478907	E478907_2	E478929	E478929_2	E478933	E478933_2	E478941	E478941_2	E478949	E478949_2	E478954	E478954_2	E478959	E478959_2	E478964	E478964_2	E478969	E478969_2	E478973	E478973_2	E478977	E478977_2	E478981	E478981_2	E478985	E478985_2	E478989	E478989_2	E478993	E478993_2	E478997	E478997_2
Hippoglossus_hippoglossus	3103	0	0	0	0	3.36	0	0.225287356	0	0	0	0	0	0	0	0	0	59.65909091	0	0	0	0	0	9.425438596	0	0	8143	4.364942529	0	0	0	0	0	0	0	0	0	3.95	0	0	0	0	0	0	0	9.296875	0	0	0	0	60894	0	0	0	0	23.81	0	6.155882353	9173	1.2228125	0	0	6634	7.128333333	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.930327869	0	0	0	0	0	0	0	0	0	0
Leptoclinus_maculatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022383721	0	0.171022727	12366	0.031818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leucoraja_erinacea	0	0	0	0	0	9.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	0.844375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20178	0	0	0	0	0	0	0.427325581	0	0	0	0	0	0	0	0	0	8.998579545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47861	0	13627	0	14603	8.514044944	18478	15.59	1028	1.488505747	17790	0	0	0.794382022
Lophius_americanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3651	0	0	0	0	0	0	0	0	0	0	0	0	9.63	0	0.31375	0	0	0	0	0	0.22859375	0	0	0	2.00375	0	0.260441176	0	2.775694444	0	0	0	0.473529412	0	0	0	0	0	0	0	0	0	6.531976744	0	0	0	0	0	0	0	1.03591954	0	0	0	0.746	0	0	0	4.375	0	3.037921348	0	0	0	0	0	0	0	0	12809	2.605978261	0	0	6079	2.713483146	0	2.54	0	0	0	0	17952	4.384831461
Lumpenus_lampretaeformis	0	0	0	0	0	0	0	0	0	0	0	0	14952	0.075867052	0	0	35255	0.201846591	7454	0.316193182	0	0	0	0	0	0	0	0	0	0	6476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melanogrammus_aeglefinus	0	16.165	0	3.221590909	3249	26.848	3965	22.21091954	0	0.006960227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.401923077	0	0	0	0	3797	113.4724138	0	47.74	0	9.05	2371	12.74583333	0	17.96323529	13119	35.21875	0	13.43611111	0	4.501388889	142139	0.498235294	0	1.821944444	0	5.975	0	30.32647059	4078	60.090625	0	0	0	0	0	0.24609375	0	1.109011628	0	8.604494382	0	12.30057803	0	0	0	61.57183908	0	0.1859375	0	8.54	0	8.66	0	5.259722222	0	17.73595506	0	12.21965318	0	1.292613636	0	1.295402299	0	361.643	118710	279.2182065	0	323.154235	7311	199.9119382	0	0.094	0	1.186781609	0	5.649715909	2753	19.81235955
Merluccius_albidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	88	0	453549	0.810833333	0	0.739861111	0	0	0	0	0	0	0	0	5914	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Merluccius_bilinearis	2867	0	1466	0	0	7.16	0	0	0	0	7147	6.25	0	0.194219653	0	0	0	0	0	0.181960227	34	1.06408046	12982	0.523976608	0	0	0	1.015804598	0	0	0	0	0	0.077668539	3	4.272413793	118601	13.94	0	15.925	19016	1.559444444	0	0.776176471	0	0.643125	134850	3.869444444	9485	2.197222222	159228	27.3	992	7.729166667	10002	0.552	5931	1.811764706	480829	0.25265625	2369	0.982121212	2601	46.305	0	2.2203125	8312	1.465116279	0	0.018679775	4953	8.729768786	0	10.55087209	0	3.514382184	25	7.636363636	0	13.35	5203	11.92	0	2.206944444	0	0.816011236	7878	25.93641618	0	2.724431818	0	0.221264368	0	28.3	23850	0.551630435	11725	0.493442623	1752	2.91011236	16939	6.76	53147	2.272988506	0	0	0	0
Myoxocephalus_octodecemspinosus	0	0	0	0	8754	3.552	0	1.216954023	0	0	0	0	0	0	0	0.225872093	0	0.114346591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.251404494	0	0	0	1.385	1	0.14125	0	0	0	0	6989	2.3953125	0	0	0	0	0	0.144117647	0	0.119583333	0	0.128	3103	0	0	0	2859	1.130606061	0	0.333666667	1935	0	0	0.010174419	0	0	0	0	0	0	0	0	0	7.258522727	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19091	0.243478261	0	0.420765027	5541	27.23314607	0	0.395	0	0	0	0	5357	0
Notoscopelus_elongatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032183908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
