Taxa	eDNA_16S	verts_count	log_eDNA_16S	log_verts_count
Citharichthys_arctifrons	0	1.029411765	0	0.307370174
Glyptocephalus_cynoglossus	0	1.029411765	0	0.307370174
Lophius_americanus	0	1.029411765	0	0.307370174
Myoxocephalus_octodecemspinosus	0	1.029411765	0	0.307370174
Zoarces_americanus	0	1.029411765	0	0.307370174
Hippoglossus_hippoglossus	0	1.029411765	0	0.307370174
Urophycis_tenuis	0	1.029411765	0	0.307370174
Tautogolabrus_adspersus	5796	1.029411765	3.7632033	0.307370174
Melanogrammus_aeglefinus	142139	1.029411765	5.152716311	0.307370174
Triglops_murrayi	0	1.060606061	0	0.313994973
Clupea_harengus	0	1.09375	0	0.320924824
Hippoglossus_hippoglossus	0	1.09375	0	0.320924824
Lophius_americanus	0	1.09375	0	0.320924824
Melanogrammus_aeglefinus	0	1.09375	0	0.320924824
Leucoraja_erinacea	7320	1.09375	3.864570407	0.320924824
Hippoglossus_hippoglossus	9173	1.09375	3.962558736	0.320924824
Sebastes	0	1.166666667	0	0.335792102
Urophycis_tenuis	0	1.166666667	0	0.335792102
Clupea_harengus	0	1.206896552	0	0.343781976
Clupea_harengus	0	1.25	0	0.352182518
Lophius_americanus	0	1.25	0	0.352182518
Myoxocephalus_octodecemspinosus	1	1.25	0.301029996	0.352182518
Alosa_pseudoharengus	82	1.25	1.919078092	0.352182518
Glyptocephalus_cynoglossus	3065	1.43442623	3.486572151	0.386396619
Hippoglossus_hippoglossus	0	1.912568306	0	0.464276119
Citharichthys_arctifrons	0	1.944444444	0	0.469003364
Pollachius_virens	0	1.944444444	0	0.469003364
Lophius_americanus	0	1.944444444	0	0.469003364
Lophius_americanus	0	1.944444444	0	0.469003364
Urophycis_chuss	0	1.944444444	0	0.469003364
Merluccius_albidus	453549	1.944444444	5.656625171	0.469003364
Zoarces_americanus	0	1.966292135	0	0.47221392
Urophycis_tenuis	0	1.966292135	0	0.47221392
Amblyraja_radiata	0	1.988636364	0	0.475473076
Clupea_harengus	0	1.988636364	0	0.475473076
Alosa_pseudoharengus	0	1.988636364	0	0.475473076
Melanogrammus_aeglefinus	0	1.988636364	0	0.475473076
Clupea_harengus	1149	1.988636364	3.06069784	0.475473076
Squalus_acanthias	3943	1.988636364	3.595936906	0.475473076
Argentina_silus	0	2	0	0.477121255
Hippoglossus_hippoglossus	0	2	0	0.477121255
Hippoglossus_hippoglossus	0	2	0	0.477121255
Helicolenus_dactylopterus	0	2	0	0.477121255
Lophius_americanus	0	2	0	0.477121255
Notoscopelus_elongatus	0	2.011494253	0	0.478782039
Enchelyopus_cimbrius	0	2.011494253	0	0.478782039
Lophius_americanus	0	2.011494253	0	0.478782039
Merluccius_bilinearis	0	2.011494253	0	0.478782039
Phycis_chesteri	2634	2.011494253	3.42078062	0.478782039
Merluccius_bilinearis	0	2.023121387	0	0.480455586
Urophycis_chuss	0	2.023121387	0	0.480455586
Merluccius_bilinearis	12982	2.046783626	4.113375057	0.483841613
Lophius_americanus	0	2.058823529	0	0.485554422
Glyptocephalus_cynoglossus	0	2.121212121	0	0.494323285
Glyptocephalus_cynoglossus	0	2.1875	0	0.503450193
Urophycis_chuss	15826	2.1875	4.199398602	0.503450193
Myoxocephalus_octodecemspinosus	0	2.868852459	0	0.587582168
Citharichthys_arctifrons	0	2.916666667	0	0.592916612
Urophycis_tenuis	0	2.916666667	0	0.592916612
Clupea_harengus	0	2.916666667	0	0.592916612
Argentina_silus	0	2.982954545	0	0.60020535
Argentina_silus	0	2.982954545	0	0.60020535
Urophycis_chuss	14	2.982954545	1.176091259	0.60020535
Urophycis_tenuis	87	2.982954545	1.944482672	0.60020535
Sebastes	26605	2.982954545	4.424979587	0.60020535
Enchelyopus_cimbrius	0	3	0	0.602059991
Urophycis_tenuis	0	3	0	0.602059991
Lophius_americanus	0	3	0	0.602059991
Myoxocephalus_octodecemspinosus	0	3	0	0.602059991
Glyptocephalus_cynoglossus	0	3.017241379	0	0.603927927
Merluccius_bilinearis	34	3.017241379	1.544068044	0.603927927
Glyptocephalus_cynoglossus	959	3.017241379	2.982271233	0.603927927
Leucoraja_erinacea	1028	3.017241379	3.012415375	0.603927927
Glyptocephalus_cynoglossus	0	3.034682081	0	0.60580932
Clupea_harengus	0	3.034682081	0	0.60580932
Lumpenus_lampretaeformis	14952	3.034682081	4.174728333	0.60580932
Lophius_americanus	0	3.052325581	0	0.607704331
Enchelyopus_cimbrius	11111	3.052325581	4.045792233	0.607704331
Amblyraja_radiata	0	3.070175439	0	0.609613129
Pollachius_virens	0	3.088235294	0	0.611535883
Urophycis_chuss	0	3.088235294	0	0.611535883
Scomber_scombrus	16784	3.088235294	4.224921346	0.611535883
Myoxocephalus_octodecemspinosus	0	3.5	0	0.653212514
Glyptocephalus_cynoglossus	2326	3.5	3.366796383	0.653212514
Hippoglossus_hippoglossus	6634	3.5	3.821840927	0.653212514
Zoarces_americanus	44888	3.804347826	4.652139931	0.681634442
Pollachius_virens	0	3.825136612	0	0.683509614
