Taxa	EDNA20_474001	EDNA20_474001_2	EDNA20_474005	EDNA20_474005_2	EDNA20_474014	EDNA20_474014_2	EDNA20_474043	EDNA20_474043_2	EDNA20_474079	EDNA20_474079_2	EDNA20_474086	EDNA20_474086_2	EDNA20_474091	EDNA20_474091_2	EDNA20_474099	EDNA20_474099_2	EDNA20_474103	EDNA20_474103_2	EDNA20_474107	EDNA20_474107_2	EDNA20_474143	EDNA20_474143_2	EDNA20_474148	EDNA20_474148_2	EDNA20_474160	EDNA20_474160_2	EDNA20_474175	EDNA20_474175_2	EDNA20_474179	EDNA20_474179_2	EDNA20_474198	EDNA20_474198_2	EDNA20_474207	EDNA20_474207_2	EDNA20_474217	EDNA20_474217_2	EDNA20_474237	EDNA20_474237_2	EDNA20_478618	EDNA20_478618_2	EDNA20_478631	EDNA20_478631_2	EDNA20_478635	EDNA20_478635_2	EDNA20_478639	EDNA20_478639_2	EDNA20_478655	EDNA20_478655_2	EDNA20_478672	EDNA20_478672_2	EDNA20_478677	EDNA20_478677_2	EDNA20_478685	EDNA20_478685_2	EDNA20_478689	EDNA20_478689_2	EDNA20_478706	EDNA20_478706_2	EDNA20_478732	EDNA20_478732_2	EDNA20_478745	EDNA20_478745_2	EDNA20_478748	EDNA20_478748_2	EDNA20_478752	EDNA20_478752_2	EDNA20_478847	EDNA20_478847_2	EDNA20_478851	EDNA20_478851_2	EDNA20_478867	EDNA20_478867_2	EDNA20_478887	EDNA20_478887_2	EDNA20_478895	EDNA20_478895_2	EDNA20_478907	EDNA20_478907_2	EDNA20_478929	EDNA20_478929_2	EDNA20_478933	EDNA20_478933_2	EDNA20_478941	EDNA20_478941_2	EDNA20_478949	EDNA20_478949_2	EDNA20_478954	EDNA20_478954_2	EDNA20_478959	EDNA20_478959_2	EDNA20_478964	EDNA20_478964_2	EDNA20_478969	EDNA20_478969_2	EDNA20_478973	EDNA20_478973_2	EDNA20_478977	EDNA20_478977_2	EDNA20_478981	EDNA20_478981_2	EDNA20_478985	EDNA20_478985_2	EDNA20_478989	EDNA20_478989_2	EDNA20_478993	EDNA20_478993_2	EDNA20_478997	EDNA20_478997_2
Hippoglossus_hippoglossus	0.00476532	0	0	0	0	3.36	0	0.225287356	0	0	0	0	0	0	0	0	0	59.65909091	0	0	0	0	0	9.425438596	0	0	0.135122129	4.364942529	0	0	0	0	0	0	0	0	0	3.95	0	0	0	0	0	0	0	9.296875	0	0	0	0	0.098564603	0	0	0	0	23.81	0	6.155882353	0.018270652	1.2228125	0	0	0.524385424	7.128333333	0	0	0	0	0	0	0	0	0	0	0	0	0.017641419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.930327869	0	0	0	0	0	0	0	0	0	0
Leptoclinus_maculatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022383721	0	0.171022727	0.336060005	0.031818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leucoraja_erinacea	0	0	0	0	0	9.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085775554	0.844375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032846983	0	0	0	0	0	0	0.427325581	0	0	0	0	0	0	0	0	0	8.998579545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093212351	0	0.21375351	0	0.274693855	8.514044944	0.368300413	15.59	0.008214931	1.488505747	0.648134655	0	0	0.794382022
Lophius_americanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005650653	0	0	0	0	0	0	0	0	0	0	0	0	9.63	0	0.31375	0	0	0	0	0	0.22859375	0	0	0	2.00375	0	0.260441176	0	2.775694444	0	0	0	0.473529412	0	0	0	0	0	0	0	0	0	6.531976744	0	0	0	0	0	0	0	1.03591954	0	0	0	0.746	0	0	0	4.375	0	3.037921348	0	0	0	0	0	0	0	0	0.024946345	2.605978261	0	0	0.114350746	2.713483146	0	2.54	0	0	0	0	0.025177944	4.384831461
Lumpenus_lampretaeformis	0	0	0	0	0	0	0	0	0	0	0	0	0.24842574	0.075867052	0	0	0.428220919	0.201846591	0.202570862	0.316193182	0	0	0	0	0	0	0	0	0	0	0.007844306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melanogrammus_aeglefinus	0	16.165	0	3.221590909	0.148220803	26.848	0.264739267	22.21091954	0	0.006960227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.401923077	0	0	0	0	0.160787635	113.4724138	0	47.74	0	9.05	0.066933913	12.74583333	0	17.96323529	0.153728073	35.21875	0	13.43611111	0	4.501388889	0.23006986	0.498235294	0	1.821944444	0	5.975	0	30.32647059	0.008122503	60.090625	0	0	0	0	0	0.24609375	0	1.109011628	0	8.604494382	0	12.30057803	0	0	0	61.57183908	0	0.1859375	0	8.54	0	8.66	0	5.259722222	0	17.73595506	0	12.21965318	0	1.292613636	0	1.295402299	0	361.643	0.231195298	279.2182065	0	323.154235	0.13752563	199.9119382	0	0.094	0	1.186781609	0	5.649715909	0.003861123	19.81235955
Merluccius_albidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003305785	0	0	0	0	0	0.001031182	0	0.655530359	0.810833333	0	0.739861111	0	0	0	0	0	0	0	0	0.011779422	0	0	0	0	0	0	0	0	0	0.013800425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Merluccius_bilinearis	0.004402891	0	0.527338129	0	0	7.16	0	0	0	0	0.551210859	6.25	0	0.194219653	0	0	0	0	0	0.181960227	0.000762366	1.06408046	0.101060269	0.523976608	0	0	0	1.015804598	0	0	0	0	0	0.077668539	0.000127038	4.272413793	0.791375019	13.94	0	15.925	0.536826356	1.559444444	0	0.776176471	0	0.643125	0.194903459	3.869444444	0.166874857	2.197222222	0.257730557	27.3	0.106266738	7.729166667	0.133523789	0.552	0.106275086	1.811764706	0.957708411	0.25265625	0.003856403	0.982121212	0.205596396	46.305	0	2.2203125	0.472433784	1.465116279	0	0.018679775	0.118814019	8.729768786	0	10.55087209	0	3.514382184	0.004793864	7.636363636	0	13.35	0.239218391	11.92	0	2.206944444	0	0.816011236	0.445260838	25.93641618	0	2.724431818	0	0.221264368	0	28.3	0.046449396	0.551630435	0.183918684	0.493442623	0.032956491	2.91011236	0.337625321	6.76	0.424707123	2.272988506	0	0	0	0
Myoxocephalus_octodecemspinosus	0	0	0	0	0.399361314	3.552	0	1.216954023	0	0	0	0	0	0	0	0.225872093	0	0.114346591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.251404494	0	0	0	1.385	0.000826446	0.14125	0	0	0	0	0.081896905	2.3953125	0	0	0	0	0	0.144117647	0	0.119583333	0	0.128	0.055601347	0	0	0	0.004654055	1.130606061	0	0.333666667	0.07862977	0	0	0.010174419	0	0	0	0	0	0	0	0	0	7.258522727	0	0	0	0	0.000395257	0	0	0	0	0	0	0	0	0	0	0	0.03718094	0.243478261	0	0.420765027	0.104230545	27.23314607	0	0.395	0	0	0	0	0.007513271	0
Notoscopelus_elongatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032183908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004917031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
