"","Actiniaria","Actiniidae","Actinostola","Annelida","Anonyx","Anthozoa","Aphrodita hastata","Argis dentata","Asterias forbesi","Asterias rubens","Asteroidea","Astropecten americanus","Atlantopandalus propinqvus","Axius serratus","Bivalvia","Bolocera","Brachiopoda","Brisaster fragilis","Buccinum undatum","Cancer borealis","Cancer irroratus","Ceramaster granularis","Chionoecetes opilio","Chirona hameri","Chlamys islandica","Clypeasteroida","Colus","Crangon septemspinosa","Crinoidea","Crossaster papposus","Ctenodiscus crispatus","Ctenophora","Cucumaria frondosa","Cyanea capillata","Decapoda","Dichelopandalus leptocerus","Epizoanthus","Eualus fabricii","Eualus gaimardii","Euphausiacea","Euspira heros","Flustra foliacea","Gersemia rubiformis","Gorgonocephalidae","Haliclona oculata","Henricia","Hippasteria phrygiana","Homarus americanus","Hormathia","Hyas","Hyas araneus","Hyas coarctatus","Hydrozoa","Illex illecebrosus","Lebbeus polaris","Leptasterias","Leptasterias polaris","Lithodes maja","Loligo pealeii","Lophaster furcifer","Meganyctiphanes norvegica","Modiolus modiolus","Munida valida","Munidopsis curvirostra","Mytilidae","Mytilus edulis","Naticidae","Nephtheidae","Neptunea decemcostata","Nudibranchia","Nymphon","Octopoda","Ophiacantha abyssicola","Ophiacantha bidentata","Ophiopholis aculeata","Ophiura sarsi","Ophiuroidea","Paguridae","Pagurus acadianus","Pandalus borealis","Pandalus montagui","Pasiphaea multidentata","Pennatula aculeata","Pennatulacea","Placopecten magellanicus","Polychaeta","Polymastia","Polymastia andrica","Pontaster","Pontophilus norvegicus","Porania pulvillus","Poraniomorpha hispida","Porifera","Pseudarchaster parelii","Psilaster andromeda","Psolus phantapus","Pteraster pulvillus","Pycnogonida","Pycnogonum litorale","Sclerasterias tanneri","Sclerocrangon boreas","Scyphozoa","Sepiolina","Sipuncula","Solaster","Solaster endeca","Spirontocaris lilljeborgii","Spirontocaris spinus","Spisula solidissima","Stomphia coccinea","Strongylocentrotus","Strongylocentrotus droebachiensis","Suberites ficus","Terebratulina","Vazella pourtalesii"
"EDNA20-478732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245,0.77765625,NA,NA,NA,NA,NA,NA,0.004375,NA,NA,NA,NA,1.09265625,NA,NA,0.89578125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56765625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00109375,NA,NA,NA,NA,NA
"EDNA20-478745",0.00212121212121212,NA,NA,NA,NA,NA,0.230151515151515,0.0922727272727273,NA,2.94848484848485,NA,NA,NA,NA,NA,NA,NA,NA,0.270454545454546,0.133636363636364,1.11681818181818,NA,5.73787878787879,NA,NA,0.508030303030303,NA,0.00424242424242424,NA,0.202575757575758,NA,0.0137878787878788,23.1954545454545,NA,NA,0.0254545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00106060606060606,NA,NA,NA,0.678787878787879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00106060606060606,NA,0.199393939393939,NA,NA,0.00848484848484849,NA,0.00212121212121212,0.00106060606060606,NA,NA,NA,NA,NA,NA,NA,NA,2.40757575757576,NA,NA,NA,NA,NA,NA,NA,NA,0.0753030303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478748",0.0035,NA,NA,NA,NA,NA,0.00116666666666667,0.00466666666666667,NA,1.6135,NA,NA,NA,NA,NA,NA,NA,NA,0.1925,0.263666666666667,0.177333333333333,NA,17.3366666666667,NA,NA,0.42,NA,NA,NA,NA,NA,0.00466666666666667,NA,NA,NA,0.124833333333333,NA,NA,NA,0.00116666666666667,NA,NA,NA,NA,NA,NA,0.0688333333333333,NA,NA,NA,NA,NA,NA,1.02316666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1015,NA,NA,NA,0.00466666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00583333333333333,NA,NA,NA,0.621833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478752",0.004375,NA,NA,NA,NA,NA,NA,0.00765625,NA,0.00546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2421875,NA,NA,0.60375,NA,NA,NA,NA,NA,NA,0.35328125,NA,NA,0.4703125,NA,NA,0.0065625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2609375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00109375,NA,NA,0.00109375,NA,0.07546875,NA,NA,NA,NA,NA,NA,NA,0.0721875,NA,0.00109375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08203125,NA,NA,NA
"EDNA20-478847",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0356104651162791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0508720930232558,NA,NA,NA,NA,0.00101744186046512,NA,NA,NA,NA,NA,NA,NA,0.0936046511627907,NA,0.0366279069767442,NA,NA,NA,NA,NA,NA,0.0061046511627907,NA,NA,0.0936046511627907,NA,8.87209302325581,NA,NA,NA,NA,0.0254360465116279,9.07558139534884,NA,0.00305232558139535,NA,NA,NA,NA,NA,NA,NA,NA,0.0478197674418605,NA,NA,NA,NA,NA,NA,0.0183139534883721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473110465116279,NA,NA,NA,0.00203488372093023,NA,0.00101744186046512,NA,NA,NA,0.00203488372093023,NA,NA,0.00508720930232558,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9662921348315,NA,NA,0.00196629213483146,NA,NA,74.8174157303371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0294943820224719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477808988764045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478867",NA,NA,0.0182080924855491,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00910404624277457,NA,NA,NA,NA,NA,NA,0.290317919075144,NA,0.0232658959537572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00202312138728324,NA,3.5,NA,NA,0.00202312138728324,NA,NA,0.157803468208092,NA,NA,NA,0.0232658959537572,NA,NA,0.00101156069364162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013150289017341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101156069364162,0.00101156069364162,NA,NA,NA,NA,0.00101156069364162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0925872093023256,NA,NA,NA,4.65988372093023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257412790697674,NA,NA,NA,NA,NA,0.061046511627907,NA,NA,NA,NA,NA,28.4171511627907,NA,NA,0.00203488372093023,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67063953488372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157703488372093,0.0691860465116279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.360174418604651,0.0457848837209302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478895",0.14985632183908,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00905172413793104,NA,NA,NA,NA,0.0311781609195402,NA,NA,NA,5.69252873563218,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.280603448275862,NA,NA,NA,0.172988505747126,NA,1.01077586206897,NA,0.00100574712643678,0.00100574712643678,NA,NA,0.064367816091954,NA,NA,NA,0.0110632183908046,NA,8.35775862068965,NA,NA,0.0100574712643678,NA,NA,0.046264367816092,0.00301724137931035,NA,NA,NA,NA,NA,0.0160919540229885,NA,NA,NA,NA,NA,NA,NA,0.0533045977011494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00704022988505747,0.00100574712643678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.582327586206897,NA,NA,NA,NA,0.00100574712643678,NA,NA,NA,NA,NA,NA,NA,NA,0.032183908045977,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478907",NA,NA,NA,NA,NA,NA,0.654261363636364,NA,NA,1.03110795454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.731818181818182,NA,NA,NA,NA,NA,NA,0.0208806818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115340909090909,74.9934659090909,NA,NA,NA,NA,NA,10.5099431818182,NA,NA,0.000994318181818182,0.0308238636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39303977272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144176136363636,NA,NA,NA,NA,NA,0.959517045454545,NA,NA,NA,7.48721590909091,NA,NA,NA,NA,NA,NA,NA,0.237642045454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61676136363636,NA,NA,NA
