"latin","CODE","SPEC","COMM","NMFS","APHIAID","APHIAID_SRC","TSN","TSN_DEFINITIVE","kingdom","subkingdom","infrakingdom","phylum","subphylum","infraphylum","superclass","class","superorder","order","family","subfamily","genus","species","species_id","vert"
"CLUPEA HARENGUS",60,"CLUPEA HARENGUS","HERRING(ATLANTIC)",32,126417,"scientific",161722,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Clupeomorpha","Clupeiformes","Clupeidae","Clupeinae","Clupea","Clupea harengus","Clupea harengus",TRUE
"ALOSA SAPIDISSIMA",61,"ALOSA SAPIDISSIMA","SHAD AMERICAN",35,158670,"scientific",161702,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Clupeomorpha","Clupeiformes","Clupeidae","Alosinae","Alosa","Alosa sapidissima","Alosa sapidissima",TRUE
"ALOSA PSEUDOHARENGUS",62,"ALOSA PSEUDOHARENGUS","ALEWIFE",33,158669,"scientific",161706,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Clupeomorpha","Clupeiformes","Clupeidae","Alosinae","Alosa","Alosa pseudoharengus","Alosa pseudoharengus",TRUE
"MALLOTUS VILLOSUS",64,"MALLOTUS VILLOSUS","CAPELIN",38,126735,"scientific",162035,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Protacanthopterygii","Osmeriformes","Osmeridae",NA,"Mallotus","Mallotus villosus","Mallotus villosus",TRUE
"SCOMBER SCOMBRUS",70,"SCOMBER SCOMBRUS","MACKEREL(ATLANTIC)",121,127023,"scientific",172414,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Scombridae","Scombrinae","Scomber","Scomber scombrus","Scomber scombrus",TRUE
"UROPHYCIS CHESTERI",112,"UROPHYCIS CHESTERI","LONGFIN HAKE",79,158988,"common",164734,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Phycinae","Phycis","Phycis chesteri","Phycis chesteri",TRUE
"ENCHELYOPUS CIMBRIUS",114,"ENCHELYOPUS CIMBRIUS","FOURBEARD ROCKLING",83,126450,"scientific",164748,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Phycinae","Enchelyopus","Enchelyopus cimbrius","Enchelyopus cimbrius",TRUE
"GAIDROPSARUS ENSIS",115,"GAIDROPSARUS ENSIS","THREEBEARD ROCKLING",85,126453,"scientific",164769,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Phycinae","Gaidropsarus","Gaidropsarus ensis","Gaidropsarus ensis",TRUE
"TAUTOGOLABRUS ADSPERSUS",122,"TAUTOGOLABRUS ADSPERSUS","CUNNER",176,159785,"scientific",170481,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Labridae",NA,"Tautogolabrus","Tautogolabrus adspersus","Tautogolabrus adspersus",TRUE
"HELICOLENUS DACTYLOPTERUS",123,"HELICOLENUS DACTYLOPTERUS","ROSEFISH(BLACK BELLY)",156,127251,"scientific",166787,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Scorpaenidae",NA,"Helicolenus","Helicolenus dactylopterus","Helicolenus dactylopterus",TRUE
