"latin","CODE","SPEC","COMM","NMFS","APHIAID","APHIAID_SRC","TSN","TSN_DEFINITIVE","kingdom","subkingdom","infrakingdom","phylum","subphylum","infraphylum","superclass","class","superorder","order","family","subfamily","genus","species","species_id","vert"
"POLYMIXIA LOWEI",771,"POLYMIXIA LOWEI","BEARDFISH",263,282202,"common",170475,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Polynemidae",NA,"Pentanemus","Pentanemus quinquarius","Pentanemus quinquarius",TRUE
"SYMPHURUS SP.",805,"SYMPHURUS SP.","TONGUEFISH",221,126113,"scientific",173061,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Cynoglossidae","Symphurinae","Symphurus",NA,"Symphurus",TRUE
"LYCODES EUDIPLEUROSTICTUS",845,"LYCODES EUDIPLEUROSTICTUS","EELPOUT (NS)",NA,234713,"common",631004,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Zoarcidae",NA,"Lycodichthys","Lycodichthys dearborni","Lycodichthys dearborni",TRUE
"PARALIPARIS CALIDUS",868,"PARALIPARIS CALIDUS","SEASNAIL",NA,159529,"scientific",167604,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Liparidae",NA,"Paraliparis","Paraliparis calidus","Paraliparis calidus",TRUE
"ARTEDIELLUS ATLANTICUS",880,"ARTEDIELLUS ATLANTICUS","HOOKEAR SCULPIN,ATL.",NA,127193,"scientific",167208,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Cottidae",NA,"Artediellus","Artediellus atlanticus","Artediellus atlanticus",TRUE
"NEZUMIA SP.",1013,"NEZUMIA SP.","NEZUMIA SP.",NA,125754,"scientific",165393,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Macrouridae","Macrourinae","Nezumia",NA,"Nezumia",TRUE
"LEUCORAJA SP.",1191,"LEUCORAJA SP.","Skate;LITTLE OR WINTER; Unspecified",NA,105763,"scientific",564037,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Rajiformes","Rajidae",NA,"Leucoraja",NA,"Leucoraja",TRUE
"TUNICATA S.P.",1810,"TUNICATA S.P.","TUNICATA S.P.",NA,146420,NA,203347,TRUE,"Animalia",NA,NA,"Chordata","Tunicata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tunicata",TRUE
"ASCIDIA SP.",1821,"ASCIDIA SP.","SEA SQUIRTS",NA,103483,"scientific",159174,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Urochordata",NA,NA,"Ascidiacea",NA,"Enterogona","Ascidiidae",NA,"Ascidia",NA,"Ascidia",TRUE
"BOLTENIA SP.",1823,"BOLTENIA SP.","SEA POTATO",NA,103514,"scientific",159484,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Urochordata",NA,NA,"Ascidiacea",NA,"Pleurogona","Pyuridae",NA,"Boltenia",NA,"Boltenia",TRUE
"FLUSTRA FOLIACEA",1901,"FLUSTRA FOLIACEA","LEMONWEED",NA,111367,"scientific",155886,TRUE,"Animalia","Bilateria","Protostomia","Bryozoa",NA,NA,NA,"Gymnolaemata",NA,"Cheilostomata","Flustridae",NA,"Flustra","Flustra foliacea","Flustra foliacea",FALSE
"BRYOZOANS BRACHIOPODA P.",1930,"BRYOZOANS BRACHIOPODA P.","LAMPSHELLS",NA,1803,"manual",NA,FALSE,"Animalia","Bilateria","Protostomia","Brachiopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brachiopoda",FALSE
"TEREBRATULINA SP.",1932,"TEREBRATULINA SP.","TEREBRATULINA SP.",NA,104040,"scientific",156801,TRUE,"Animalia","Bilateria","Protostomia","Brachiopoda","Rhynchonelliformea",NA,NA,"Rhynchonellata",NA,"Terebratulida","Cancellothyrididae",NA,"Terebratulina",NA,"Terebratulina",FALSE
"CHIRONA HAMERI",2062,"CHIRONA HAMERI","CHIRONA HAMERI",NA,106207,NA,656261,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Thoracica","Sessilia","Archaeobalanidae",NA,"Chirona","Chirona hameri","Chirona hameri",FALSE
"DECAPODA O.",2100,"DECAPODA O.","SHRIMPS",NA,1130,"scientific",95599,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda",NA,NA,NA,NA,"Decapoda",FALSE
"PANDALUS BOREALIS",2211,"PANDALUS BOREALIS","PANDALUS BOREALIS",NA,107649,"scientific",96967,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Pandalidae",NA,"Pandalus","Pandalus borealis","Pandalus borealis",FALSE
"PANDALUS MONTAGUI",2212,"PANDALUS MONTAGUI","PANDALUS MONTAGUI",NA,107651,"scientific",96971,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Pandalidae",NA,"Pandalus","Pandalus montagui","Pandalus montagui",FALSE
"ATLANTOPANDALUS PROPINQVUS",2213,"ATLANTOPANDALUS PROPINQVUS","ATLANTOPANDALUS PROPINQUUS",NA,158351,"scientific",621752,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Pandalidae",NA,"Atlantopandalus","Atlantopandalus propinqvus","Atlantopandalus propinqvus",FALSE
"DICHELOPANDALUS LEPTOCERUS",2214,"DICHELOPANDALUS LEPTOCERUS","DICHELOPANDALUS LEPTOCERUS",NA,158356,"scientific",97000,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Pandalidae",NA,"Dichelopandalus","Dichelopandalus leptocerus","Dichelopandalus leptocerus",FALSE
"PASIPHAEA MULTIDENTATA",2221,"PASIPHAEA MULTIDENTATA","PASIPHAEA MULTIDENTATA",NA,107676,"scientific",96166,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Pasiphaeidae",NA,"Pasiphaea","Pasiphaea multidentata","Pasiphaea multidentata",FALSE
"LEBBEUS POLARIS",2312,"LEBBEUS POLARIS","LEBBEUS POLARIS",NA,107521,"scientific",96792,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Hippolytidae",NA,"Lebbeus","Lebbeus polaris","Lebbeus polaris",FALSE
"SPIRONTOCARIS LILJEBORGII",2313,"SPIRONTOCARIS LILJEBORGII","SPIRONTOCARIS LILJEBORGII",NA,107531,"scientific",660041,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Hippolytidae",NA,"Spirontocaris","Spirontocaris lilljeborgii","Spirontocaris lilljeborgii",FALSE
"SPIRONTOCARIS SPINUS",2316,"SPIRONTOCARIS SPINUS","SPIRONTOCARIS SPINUS",NA,107533,"scientific",96775,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Hippolytidae",NA,"Spirontocaris","Spirontocaris spinus","Spirontocaris spinus",FALSE
"EUALUS FABRICII",2332,"EUALUS FABRICII","EUALUS FABRICII",NA,158357,"scientific",96805,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Hippolytidae",NA,"Eualus","Eualus fabricii","Eualus fabricii",FALSE
"EUALUS GAIMARDII",2333,"EUALUS GAIMARDII","EUALUS GAIMARDII",NA,107504,"scientific",96807,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Hippolytidae",NA,"Eualus","Eualus gaimardii","Eualus gaimardii",FALSE
"ARGIS DENTATA",2411,"ARGIS DENTATA","ARGIS DENTATA",NA,107550,"scientific",97162,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Crangonidae",NA,"Argis","Argis dentata","Argis dentata",FALSE
"SCLEROCRANGON BOREAS",2414,"SCLEROCRANGON BOREAS","SCLEROCRANGON BOREAS",NA,107568,"scientific",97153,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Crangonidae",NA,"Sclerocrangon","Sclerocrangon boreas","Sclerocrangon boreas",FALSE
"PONTOPHILUS NORVEGICUS",2415,"PONTOPHILUS NORVEGICUS","PONTOPHILUS NORVEGICUS",NA,107563,"scientific",97184,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Crangonidae",NA,"Pontophilus","Pontophilus norvegicus","Pontophilus norvegicus",FALSE
"CRANGON SEPTEMSPINOSA",2417,"CRANGON SEPTEMSPINOSA","CRANGON SEPTEMSPINOSA",NA,158355,"scientific",97110,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Crangonidae",NA,"Crangon","Crangon septemspinosa","Crangon septemspinosa",FALSE
"CANCER BOREALIS",2511,"CANCER BOREALIS","JONAH CRAB",312,158056,"scientific",98678,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Cancridae",NA,"Cancer","Cancer borealis","Cancer borealis",FALSE
"CANCER IRRORATUS",2513,"CANCER IRRORATUS","ATLANTIC ROCK CRAB",313,158057,"scientific",98679,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Cancridae",NA,"Cancer","Cancer irroratus","Cancer irroratus",FALSE
"HYAS SP.",2520,"HYAS SP.","TOAD CRAB,UNIDENT.",NA,106903,"scientific",98421,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Oregoniidae",NA,"Hyas",NA,"Hyas",FALSE
"HYAS COARCTATUS",2521,"HYAS COARCTATUS","HYAS COARCTATUS",NA,107323,"scientific",98423,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Oregoniidae",NA,"Hyas","Hyas coarctatus","Hyas coarctatus",FALSE
"LITHODES MAJA",2523,"LITHODES MAJA","NORTHERN STONE CRAB",324,107205,"scientific",97943,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Lithodidae",NA,"Lithodes","Lithodes maja","Lithodes maja",FALSE
"CHIONOECETES OPILIO",2526,"CHIONOECETES OPILIO","SNOW CRAB (QUEEN)",325,107315,"scientific",98428,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Oregoniidae",NA,"Chionoecetes","Chionoecetes opilio","Chionoecetes opilio",FALSE
"HYAS ARANEUS",2527,"HYAS ARANEUS","TOAD CRAB",NA,107322,"scientific",98426,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Oregoniidae",NA,"Hyas","Hyas araneus","Hyas araneus",FALSE
"AXIUS SERRATUS",2541,"AXIUS SERRATUS","AXIUS SERRATUS",NA,158379,"scientific",97710,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Axiidae",NA,"Axius","Axius serratus","Axius serratus",FALSE
"HOMARUS AMERICANUS",2550,"HOMARUS AMERICANUS","AMERICAN LOBSTER",301,156134,"scientific",97314,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Nephropidae",NA,"Homarus","Homarus americanus","Homarus americanus",FALSE
"MUNIDA VALIDA",2556,"MUNIDA VALIDA","MUNIDA VALIDA",NA,158399,"scientific",97986,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Galatheidae",NA,"Munida","Munida valida","Munida valida",FALSE
"PAGURIDAE F.",2559,"PAGURIDAE F.","HERMIT CRABS",NA,106671,"common",97698,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Paguridae",NA,NA,NA,"Paguridae",FALSE
"PAGURUS ACADIANUS",2562,"PAGURUS ACADIANUS","PAGURUS ACADIANUS",NA,158400,"scientific",97803,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Paguridae",NA,"Pagurus","Pagurus acadianus","Pagurus acadianus",FALSE
"MUNIDOPSIS CURVIROSTRA",2566,"MUNIDOPSIS CURVIROSTRA","MUNIDOPSIS CURVIROSTRA",NA,107175,"scientific",97998,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Galatheidae",NA,"Munidopsis","Munidopsis curvirostra","Munidopsis curvirostra",FALSE
"EUPHAUSIACEA O.",2600,"EUPHAUSIACEA O.","KRILL SHRIMP",NA,1128,"scientific",95496,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Euphausiacea",NA,NA,NA,NA,"Euphausiacea",FALSE
"MEGANYCTIPHANES NORVEGICA",2611,"MEGANYCTIPHANES NORVEGICA","Northern Krill",NA,110690,"scientific",95534,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Euphausiacea","Euphausiidae",NA,"Meganyctiphanes","Meganyctiphanes norvegica","Meganyctiphanes norvegica",FALSE
"ANONYX SP.",2833,"ANONYX SP.","ANONYX SP.",NA,101592,"scientific",94230,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Peracarida","Amphipoda","Uristidae",NA,"Anonyx",NA,"Anonyx",FALSE
"NYMPHON SP.",2893,"NYMPHON SP.","NYMPHON SP.",NA,134591,"scientific",83548,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Chelicerata",NA,NA,"Pycnogonida",NA,"Pantopoda","Nymphonidae",NA,"Nymphon",NA,"Nymphon",FALSE
"ANNELIDA P.",3000,"ANNELIDA P.","SEGMENTED WORMS",NA,882,"scientific",64357,TRUE,"Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annelida",FALSE
"POLYCHAETA C.",3100,"POLYCHAETA C.","BRISTLE WORMS",NA,883,"scientific",64358,TRUE,"Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,NA,NA,NA,NA,NA,"Polychaeta",FALSE
"APHRODITA HASTATA",3200,"APHRODITA HASTATA","SEA MOUSE",NA,157181,"scientific",64365,TRUE,"Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Phyllodocida","Aphroditidae",NA,"Aphrodita","Aphrodita hastata","Aphrodita hastata",FALSE
"GEPHYREA (SIPUNCULA) P.",3300,"GEPHYREA (SIPUNCULA) P.","GEPHYREA (SIPUNCULA)",NA,1019642,NA,NA,FALSE,"Animalia","Bilateria","Protostomia","Sipuncula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sipuncula",FALSE
"BUCCINUM UNDATUM",4211,"BUCCINUM UNDATUM","WAVE WHELK,COMMON EDIBLE",NA,138878,"scientific",73795,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Gastropoda",NA,"Neogastropoda","Buccinidae",NA,"Buccinum","Buccinum undatum","Buccinum undatum",FALSE
"NATICIDAE F.",4220,"NATICIDAE F.","MOON SNAIL UNSP",NA,145,"scientific",72878,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Gastropoda",NA,"Neotaenioglossa","Naticidae",NA,NA,NA,"Naticidae",FALSE
"EUSPIRA HEROS",4221,"EUSPIRA HEROS","NORTHERN MOONSNAIL",NA,160315,"scientific",72985,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Gastropoda",NA,"Neotaenioglossa","Naticidae",NA,"Euspira","Euspira heros","Euspira heros",FALSE
"NEPTUNEA DECEMCOSTATA",4227,"NEPTUNEA DECEMCOSTATA","NEW ENGLAND NEPTUNE",NA,491164,"scientific",NA,FALSE,"Animalia",NA,NA,"Mollusca",NA,NA,NA,"Gastropoda",NA,"Neogastropoda","Buccinidae","Neptuneinae","Neptunea","Neptunea decemcostata","Neptunea decemcostata",FALSE
"COLUS SP.",4228,"COLUS SP.","SPINDLE SHELL",NA,446035,"scientific",73892,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Gastropoda",NA,"Neogastropoda","Buccinidae",NA,"Colus",NA,"Colus",FALSE
"BIVALVIA C.",4300,"BIVALVIA C.","BIVALVIA C.",NA,105,"scientific",79118,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Bivalvia",NA,NA,NA,NA,NA,NA,"Bivalvia",FALSE
"SPISULA SOLIDISSIMA",4317,"SPISULA SOLIDISSIMA","BAR,SURF CLAM",403,156996,"scientific",80944,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Bivalvia",NA,"Veneroida","Mactridae",NA,"Spisula","Spisula solidissima","Spisula solidissima",FALSE
"PLACOPECTEN MAGELLANICUS",4321,"PLACOPECTEN MAGELLANICUS","SEA SCALLOP",401,156972,"scientific",79718,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Bivalvia",NA,"Ostreoida","Pectinidae",NA,"Placopecten","Placopecten magellanicus","Placopecten magellanicus",FALSE
"CHLAMYS ISLANDICA",4322,"CHLAMYS ISLANDICA","ICELAND SCALLOP",NA,140692,"scientific",79619,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Bivalvia",NA,"Ostreoida","Pectinidae",NA,"Chlamys","Chlamys islandica","Chlamys islandica",FALSE
"MYTILIDAE F.",4330,"MYTILIDAE F.","MUSSELS (NS)",NA,211,"scientific",79451,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Bivalvia",NA,"Mytiloida","Mytilidae",NA,NA,NA,"Mytilidae",FALSE
"MYTILUS EDULIS",4331,"MYTILUS EDULIS","COMMON MUSSELS",NA,140480,"scientific",79454,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Bivalvia",NA,"Mytiloida","Mytilidae",NA,"Mytilus","Mytilus edulis","Mytilus edulis",FALSE
"MODIOLUS MODIOLUS",4332,"MODIOLUS MODIOLUS","HORSE MUSSELS",NA,140467,"scientific",79501,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Bivalvia",NA,"Mytiloida","Mytilidae",NA,"Modiolus","Modiolus modiolus","Modiolus modiolus",FALSE
"NUDIBRANCHIA O.",4400,"NUDIBRANCHIA O.","SEA SLUGS",NA,1762,"common",78156,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Gastropoda",NA,"Nudibranchia",NA,NA,NA,NA,"Nudibranchia",FALSE
"ILLEX ILLECEBROSUS",4511,"ILLEX ILLECEBROSUS","SHORT-FIN SQUID",502,748978,"scientific",82521,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Cephalopoda","Decabrachia","Teuthida","Ommastrephidae","Illicinae","Illex","Illex illecebrosus","Illex illecebrosus",FALSE
"LOLIGO PEALEII",4512,"LOLIGO PEALEII","LONGFIN SQUID, LONGFIN INSHORE SQUID",503,157025,"scientific",82372,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Cephalopoda","Decabrachia","Teuthida","Loliginidae",NA,"Loligo","Loligo pealeii","Loligo pealeii",FALSE
"OCTOPODA O.",4521,"OCTOPODA O.","OCTOPUS",NA,11718,"scientific",82589,TRUE,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Cephalopoda","Octobrachia","Octopoda",NA,NA,NA,NA,"Octopoda",FALSE
"SEPIOLODAE F.",4536,"SEPIOLODAE F.","BOBTAIL SQUID",NA,1454579,NA,555764,NA,"Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Cephalopoda","Decabrachia","Sepiolida","Sepiolidae","Heteroteuthinae","Sepiolina",NA,"Sepiolina",FALSE
"PYCNOGONIDA S.P.",5100,"PYCNOGONIDA S.P.","SEA SPIDER",NA,1302,NA,83545,TRUE,"Animalia","Bilateria","Protostomia","Arthropoda","Chelicerata",NA,NA,"Pycnogonida",NA,NA,NA,NA,NA,NA,"Pycnogonida",FALSE
"PYCNOGONUM LITTORALE",5102,"PYCNOGONUM LITTORALE","ANEMONE SEA SPIDER",NA,239867,"scientific",83665,TRUE,"Animalia",NA,NA,"Arthropoda","Chelicerata",NA,NA,"Pycnogonida",NA,"Pantopoda","Pycnogonidae",NA,"Pycnogonum","Pycnogonum litorale","Pycnogonum litorale",FALSE
"ASTEROIDEA S.C.",6100,"ASTEROIDEA S.C.","ASTEROIDEA S.C.",332,123080,"scientific",156862,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea",NA,NA,NA,NA,NA,NA,"Asteroidea",FALSE
"CEREMASTER GRANULARIS",6101,"CEREMASTER GRANULARIS","CEREMASTER GRANULARIS",NA,124020,NA,156997,FALSE,"Animalia",NA,NA,"Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Valvatida","Goniasteridae",NA,"Ceramaster","Ceramaster granularis","Ceramaster granularis",FALSE
"PORANIA PULVILIS",6102,"PORANIA PULVILIS","PORANIA PULVILIS",NA,125166,NA,NA,FALSE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Valvatida","Poraniidae",NA,"Porania","Porania pulvillus","Porania pulvillus",FALSE
"SCLERASTERIAS TANNERI",6106,"SCLERASTERIAS TANNERI","SCLERASTERIAS TANNERI",NA,178806,NA,157285,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Forcipulatacea","Forcipulatida","Asteriidae",NA,"Sclerasterias","Sclerasterias tanneri","Sclerasterias tanneri",FALSE
"ASTERIAS FORBESI",6109,"ASTERIAS FORBESI","ASTERIAS FORBESI",NA,158489,"scientific",157217,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Forcipulatacea","Forcipulatida","Asteriidae",NA,"Asterias","Asterias forbesi","Asterias forbesi",FALSE
"ASTERIAS RUBENS",6111,"ASTERIAS RUBENS","ASTERIAS RUBENS",NA,123776,"scientific",157220,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Forcipulatacea","Forcipulatida","Asteriidae",NA,"Asterias","Asterias rubens","Asterias rubens",FALSE
"LEPTASTERIAS POLARIS",6113,"LEPTASTERIAS POLARIS","LEPTASTERIAS POLARIS",NA,292974,"scientific",157240,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Forcipulatacea","Forcipulatida","Asteriidae",NA,"Leptasterias","Leptasterias polaris","Leptasterias polaris",FALSE
"LEPTASTERIAS SP.",6114,"LEPTASTERIAS SP.","LEPTASTERIAS SP.",NA,123222,"scientific",157225,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Forcipulatacea","Forcipulatida","Asteriidae",NA,"Leptasterias",NA,"Leptasterias",FALSE
"CTENODISCUS CRISPATUS",6115,"CTENODISCUS CRISPATUS","MUD STAR",NA,178732,"scientific",156940,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Paxillosida","Ctenodiscidae",NA,"Ctenodiscus","Ctenodiscus crispatus","Ctenodiscus crispatus",FALSE
"HIPPASTERIA PHRYGIANA",6117,"HIPPASTERIA PHRYGIANA","HIPPASTERIA PHRYGIANA",NA,124043,"scientific",157008,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Valvatida","Goniasteridae","Hippasterinae","Hippasteria","Hippasteria phrygiana","Hippasteria phrygiana",FALSE
"HENRICIA SP.",6118,"HENRICIA SP.","BLOOD STAR (GENUS)",NA,123276,"scientific",157152,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Spinulosacea","Spinulosida","Echinasteridae",NA,"Henricia",NA,"Henricia",FALSE
"SOLASTER ENDECA",6121,"SOLASTER ENDECA","PURPLE SUNSTAR",NA,124160,"scientific",157076,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Valvatida","Solasteridae",NA,"Solaster","Solaster endeca","Solaster endeca",FALSE
"SOLASTER SPP.",6122,"SOLASTER SPP.","SOLASTER SPP.",NA,123338,"scientific",157074,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Valvatida","Solasteridae",NA,"Solaster",NA,"Solaster",FALSE
"CROSSASTER PAPPOSUS",6123,"CROSSASTER PAPPOSUS","SPINY SUNSTAR",NA,124154,"scientific",157066,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Valvatida","Solasteridae",NA,"Crossaster","Crossaster papposus","Crossaster papposus",FALSE
"PTERASTER PULVILLUS",6126,"PTERASTER PULVILLUS","PTERASTER PULVILLUS",NA,124151,NA,157111,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea",NA,"Velatida","Pterasteridae",NA,"Pteraster","Pteraster pulvillus","Pteraster pulvillus",FALSE
"PORANIOMORPHA HISPIDA",6129,"PORANIOMORPHA HISPIDA","PORANIOMORPHA HISPIDA",NA,125170,NA,157142,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Valvatida","Poraniidae",NA,"Poraniomorpha","Poraniomorpha hispida","Poraniomorpha hispida",FALSE
"PONTASTER SP.",6133,"PONTASTER SP.","PONTASTER SP.",NA,123244,"scientific",156968,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Notomyotida","Benthopectinidae",NA,"Pontaster",NA,"Pontaster",FALSE
