"call","class","family","genus","gigaclass","infraclass","infrakingdom","infraorder","infraphylum","kingdom","megaclass","order","parvorder","parvphylum","phylum","section","species","subclass","subfamily","subkingdom","suborder","subphylum","subsection","subterclass","superclass","superfamily","superorder","tribe","db","CO1","m18s","m12s","m16s"
"Sebastes","Actinopteri","Sebastidae","Sebastes","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,NA,"Teleostei","Sebastinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,FALSE,TRUE
"Sebastes entomelas","Actinopteri","Sebastidae","Sebastes","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Sebastes entomelas","Teleostei","Sebastinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,FALSE,TRUE
"Sebastes fasciatus","Actinopteri","Sebastidae","Sebastes","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Sebastes fasciatus","Teleostei","Sebastinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Sebastes mentella","Actinopteri","Sebastidae","Sebastes","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Sebastes mentella","Teleostei","Sebastinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Smittia","Insecta","Chironomidae","Smittia",NA,NA,NA,"Culicomorpha",NA,"Animalia",NA,"Diptera",NA,NA,"Arthropoda",NA,NA,"Pterygota","Orthocladiinae",NA,"Nematocera","Hexapoda",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Solaster dawsoni","Asteroidea","Solasteridae","Solaster",NA,NA,NA,NA,NA,"Animalia",NA,"Valvatida",NA,NA,"Echinodermata",NA,"Solaster dawsoni",NA,NA,NA,NA,"Asterozoa",NA,NA,NA,NA,"Valvatacea",NA,"worms",FALSE,FALSE,TRUE,FALSE
"Solaster endeca","Asteroidea","Solasteridae","Solaster",NA,NA,NA,NA,NA,"Animalia",NA,"Valvatida",NA,NA,"Echinodermata",NA,"Solaster endeca",NA,NA,NA,NA,"Asterozoa",NA,NA,NA,NA,"Valvatacea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Spionidae","Polychaeta","Spionidae",NA,NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Spionida",NA,NA,"Annelida",NA,NA,"Sedentaria",NA,NA,"Spioniformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Spiophanes kroyeri","Polychaeta","Spionidae","Spiophanes",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Spionida",NA,NA,"Annelida",NA,"Spiophanes kroyeri","Sedentaria",NA,NA,"Spioniformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Squalus acanthias","Elasmobranchii","Squalidae","Squalus",NA,"Selachii",NA,NA,"Gnathostomata","Animalia",NA,"Squaliformes",NA,"Chondrichthyes","Chordata",NA,"Squalus acanthias","Neoselachii",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,"Squalomorphi",NA,"worms",TRUE,FALSE,TRUE,TRUE
