"call","kingdom","subkingdom","infrakingdom","phylum","subphylum","infraphylum","superclass","class","superorder","order","family","subfamily","genus","species","taxID","db","CO1","m18s","m12s","m16s"
"Centropages hamatus","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Centropagidae",NA,"Centropages","Centropages hamatus","85766","itis",TRUE,FALSE,FALSE,FALSE
"Centropages typicus","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Centropagidae",NA,"Centropages","Centropages typicus","85767","itis",TRUE,FALSE,FALSE,FALSE
"Centroscyllium fabricii","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Squaliformes","Etmopteridae",NA,"Centroscyllium","Centroscyllium fabricii","160703","itis",TRUE,FALSE,TRUE,TRUE
"Cephalothrix filiformis","Animalia","Bilateria","Protostomia","Nemertea",NA,NA,NA,"Anopla",NA,"Paleonemertea","Cephalothricidae",NA,"Procephalothrix","Procephalothrix filiformis","204261","itis",FALSE,TRUE,FALSE,FALSE
"Ceratocephale loveni","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Phyllodocida","Nereididae",NA,"Ceratocephale","Ceratocephale loveni","65956","itis",FALSE,TRUE,FALSE,FALSE
"Ceriantheopsis americana","Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Ceriantharia","Cerianthidae",NA,"Ceriantheopsis","Ceriantheopsis americana","51991","itis",FALSE,TRUE,FALSE,FALSE
"Cetorhinus maximus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Lamniformes","Cetorhinidae",NA,"Cetorhinus","Cetorhinus maximus","159907","itis",TRUE,FALSE,TRUE,TRUE
"Chaetognatha","Animalia","Bilateria","Protostomia","Chaetognatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"158650","itis",TRUE,FALSE,FALSE,FALSE
"Chaetozone","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Terebellida","Cirratulidae",NA,"Chaetozone",NA,"67156","itis",TRUE,FALSE,FALSE,FALSE
"Cheliplanilla caudata","Animalia","Bilateria","Protostomia","Platyhelminthes","Rhabditophora",NA,NA,"Trepaxonemata",NA,"Neoophora","Cheliplanidae",NA,"Cheliplanilla","Cheliplanilla caudata","1039283","itis",FALSE,TRUE,FALSE,FALSE
"Chlamys islandica","Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Bivalvia",NA,"Ostreoida","Pectinidae",NA,"Chlamys","Chlamys islandica","79619","itis",TRUE,FALSE,FALSE,FALSE
"Chone infundibuliformis","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Sabellida","Sabellidae",NA,"Chone","Chone infundibuliformis","68079","itis",TRUE,FALSE,FALSE,FALSE
"Citharichthys arctifrons","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Paralichthyidae",NA,"Citharichthys","Citharichthys arctifrons","172719","itis",TRUE,FALSE,TRUE,TRUE
"Clausocalanus furcatus","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Clausocalanidae",NA,"Clausocalanus","Clausocalanus furcatus","85355","itis",FALSE,TRUE,FALSE,FALSE
"Clausocalanus pergens","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Clausocalanidae",NA,"Clausocalanus","Clausocalanus pergens","85356","itis",TRUE,FALSE,FALSE,FALSE
"Cliona","Animalia","Radiata",NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Hadromerida","Clionaidae",NA,"Cliona",NA,"48523","itis",TRUE,FALSE,FALSE,FALSE
"Clupea harengus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Clupeomorpha","Clupeiformes","Clupeidae","Clupeinae","Clupea","Clupea harengus","161722","itis",FALSE,FALSE,TRUE,TRUE
"Clytia","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Leptothecatae","Campanulariidae",NA,"Clytia",NA,"49580","itis",TRUE,TRUE,FALSE,FALSE
"Cnidaria","Animalia","Radiata",NA,"Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48738","itis",TRUE,FALSE,FALSE,FALSE
"Creseis virgula","Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Gastropoda",NA,"Thecosomata","Cavoliniidae",NA,"Creseis","Creseis virgula","76389","itis",TRUE,FALSE,FALSE,FALSE
"Crustacea","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"83677","itis",FALSE,TRUE,FALSE,FALSE
"Cryptacanthodes giganteus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Cryptacanthodidae",NA,"Cryptacanthodes","Cryptacanthodes giganteus","171612","itis",FALSE,FALSE,TRUE,TRUE
"Ctenodiscus crispatus","Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Paxillosida","Ctenodiscidae",NA,"Ctenodiscus","Ctenodiscus crispatus","156940","itis",TRUE,FALSE,FALSE,FALSE
"Cucumaria frondosa","Animalia","Bilateria","Deuterostomia","Echinodermata","Echinozoa",NA,NA,"Holothuroidea",NA,"Dendrochirotida","Cucumariidae",NA,"Cucumaria","Cucumaria frondosa","158195","itis",TRUE,FALSE,FALSE,FALSE
"Cyanea","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Scyphozoa",NA,"Semaeostomeae","Cyaneidae",NA,"Cyanea",NA,"51669","itis",TRUE,FALSE,FALSE,FALSE
"Cyclopina gracilis","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Podoplea","Cyclopoida","Cyclopinidae",NA,"Cyclopina","Cyclopina gracilis","88865","itis",FALSE,TRUE,FALSE,FALSE
"Cyclothone microdon","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Stenopterygii","Stomiiformes","Gonostomatidae",NA,"Cyclothone","Cyclothone microdon","162170","itis",FALSE,FALSE,TRUE,FALSE
"Cyrtodaria siliqua","Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Bivalvia",NA,"Myoida","Hiatellidae",NA,"Cyrtodaria","Cyrtodaria siliqua","81763","itis",TRUE,FALSE,FALSE,FALSE
"Delphinidae","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Mammalia",NA,"Cetacea","Delphinidae",NA,NA,NA,"180415","itis",TRUE,FALSE,TRUE,FALSE
"Dinophyceae","Chromista","Chromista",NA,NA,NA,NA,NA,"Dinophyceae",NA,NA,NA,NA,NA,NA,"9874","itis",FALSE,TRUE,FALSE,FALSE
"Dipturus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Rajiformes","Rajidae",NA,"Dipturus",NA,"564033","itis",FALSE,FALSE,FALSE,TRUE
"Dipturus batis","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Rajiformes","Rajidae",NA,"Dipturus","Dipturus batis","564126","itis",FALSE,FALSE,FALSE,TRUE
"Dorvilleidae","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Eunicida","Dorvilleidae",NA,NA,NA,"66478","itis",TRUE,FALSE,FALSE,FALSE
"Echinarachnius parma","Animalia","Bilateria","Deuterostomia","Echinodermata","Echinozoa",NA,NA,"Echinoidea","Gnathostomata","Clypeasteroida","Echinarachniidae",NA,"Echinarachnius","Echinarachnius parma","158016","itis",TRUE,FALSE,FALSE,FALSE
"Echinorhynchus gadi","Animalia","Bilateria","Protostomia","Acanthocephala",NA,NA,NA,"Palaeacanthocephala",NA,"Echinorhynchida","Echinorhynchidae","Echinorhynchinae","Echinorhynchus","Echinorhynchus gadi","64279","itis",FALSE,TRUE,FALSE,FALSE
"Enchelyopus cimbrius","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Phycinae","Enchelyopus","Enchelyopus cimbrius","164748","itis",FALSE,FALSE,TRUE,TRUE
"Enipo torelli","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Phyllodocida","Polynoidae",NA,"Enipo","Enipo torelli","64718","itis",TRUE,FALSE,FALSE,FALSE
"Ennucula tenuis","Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Bivalvia",NA,"Nuculoida","Nuculidae",NA,"Ennucula","Ennucula tenuis","567536","itis",TRUE,FALSE,FALSE,FALSE
"Equus caballus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Mammalia",NA,"Perissodactyla","Equidae",NA,"Equus","Equus caballus","180691","itis",TRUE,FALSE,FALSE,FALSE
"Ericthonius fasciatus","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Peracarida","Amphipoda","Ischyroceridae",NA,"Ericthonius","Ericthonius fasciatus","93619","itis",TRUE,FALSE,FALSE,FALSE
"Eubranchus pallidus","Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Gastropoda",NA,"Nudibranchia","Eubranchidae",NA,"Eubranchus","Eubranchus pallidus","78605","itis",TRUE,FALSE,FALSE,FALSE
"Eudendrium capillare","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Anthoathecatae","Eudendriidae",NA,"Eudendrium","Eudendrium capillare","49101","itis",TRUE,FALSE,FALSE,FALSE
"Euphausia krohni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Euphausia krohni","95506","itis",TRUE,FALSE,FALSE,FALSE
"Felis","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Mammalia",NA,"Carnivora","Felidae","Felinae","Felis",NA,"180586","itis",TRUE,FALSE,FALSE,FALSE
"Flabelligeridae","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Terebellida","Flabelligeridae",NA,NA,NA,"67224","itis",TRUE,FALSE,FALSE,FALSE
"Flustra foliacea","Animalia","Bilateria","Protostomia","Bryozoa",NA,NA,NA,"Gymnolaemata",NA,"Cheilostomata","Flustridae",NA,"Flustra","Flustra foliacea","155886","itis",TRUE,FALSE,FALSE,FALSE
"Gadidae","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae",NA,NA,NA,"164701","itis",FALSE,FALSE,TRUE,FALSE
"Gadus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Gadinae","Gadus",NA,"164710","itis",FALSE,FALSE,TRUE,TRUE
"Gadus morhua","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Gadinae","Gadus","Gadus morhua","164712","itis",FALSE,FALSE,TRUE,FALSE
"Galathowenia oculata","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Sabellida","Oweniidae",NA,"Galathowenia","Galathowenia oculata","67662","itis",TRUE,FALSE,FALSE,FALSE
"Gallus gallus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Aves",NA,"Galliformes","Phasianidae","Phasianinae","Gallus","Gallus gallus","176086","itis",TRUE,FALSE,FALSE,FALSE
"Gastrotricha","Animalia","Bilateria","Protostomia","Gastrotricha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57597","itis",FALSE,TRUE,FALSE,FALSE
"Gersemia rubiformis","Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Alcyonacea","Alcyoniidae",NA,"Gersemia","Gersemia rubiformis","52037","itis",TRUE,FALSE,FALSE,FALSE
"Glycera capitata","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Phyllodocida","Glyceridae",NA,"Glycera","Glycera capitata","66103","itis",TRUE,FALSE,FALSE,FALSE
"Glyptocephalus cynoglossus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectinae","Glyptocephalus","Glyptocephalus cynoglossus","172873","itis",TRUE,FALSE,TRUE,TRUE
"Gonactiniidae","Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Actiniaria","Gonactiniidae",NA,NA,NA,"52833","itis",TRUE,FALSE,FALSE,FALSE
"Goniada maculata","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Phyllodocida","Goniadidae",NA,"Goniada","Goniada maculata","66140","itis",TRUE,FALSE,FALSE,FALSE
"Gonostoma elongatum","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Stenopterygii","Stomiiformes","Gonostomatidae",NA,"Gonostoma","Gonostoma elongatum","162185","itis",FALSE,FALSE,FALSE,TRUE
"Halichondria panicea","Animalia","Radiata",NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Halichondrida","Halichondriidae",NA,"Halichondria","Halichondria panicea","48396","itis",TRUE,FALSE,FALSE,FALSE
"Halocyprida","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Ostracoda",NA,"Halocyprida",NA,NA,NA,NA,"609938","itis",TRUE,FALSE,FALSE,FALSE
"Halopsis ocellata","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Leptothecatae","Mitrocomidae",NA,"Halopsis","Halopsis ocellata","50476","itis",TRUE,FALSE,FALSE,FALSE
"Helicolenus dactylopterus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Scorpaenidae",NA,"Helicolenus","Helicolenus dactylopterus","166787","itis",FALSE,FALSE,TRUE,TRUE
"Henricia","Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Spinulosacea","Spinulosida","Echinasteridae",NA,"Henricia",NA,"157152","itis",TRUE,FALSE,FALSE,FALSE
"Heteromastus filiformis","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Capitellidae",NA,"Heteromastus","Heteromastus filiformis","67420","itis",FALSE,TRUE,FALSE,FALSE
"Hippoglossina oblonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hippoglossina oblonga","172783","itis",FALSE,FALSE,TRUE,FALSE
"Hippoglossoides","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoidinae","Hippoglossoides",NA,"172874","itis",FALSE,FALSE,TRUE,TRUE
"Hippoglossoides platessoides","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoidinae","Hippoglossoides","Hippoglossoides platessoides","172877","itis",TRUE,FALSE,FALSE,FALSE
"Hippoglossus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossinae","Hippoglossus",NA,"172931","itis",FALSE,FALSE,TRUE,FALSE
"Hippoglossus hippoglossus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossinae","Hippoglossus","Hippoglossus hippoglossus","172933","itis",TRUE,FALSE,FALSE,TRUE
"Homo sapiens","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Homo sapiens","180092","itis",TRUE,TRUE,FALSE,FALSE
"Hydractinia","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Anthoathecatae","Hydractiniidae",NA,"Hydractinia",NA,"49359","itis",TRUE,FALSE,FALSE,FALSE
"Hydrozoa","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,NA,NA,NA,NA,NA,"48739","itis",TRUE,TRUE,FALSE,FALSE
"Hymeraphia stellifera","Animalia","Radiata",NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Poecilosclerida","Raspailiidae","Raspailiinae","Hymeraphia","Hymeraphia stellifera","48148","itis",TRUE,FALSE,FALSE,FALSE
"Illex","Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Cephalopoda","Decabrachia","Teuthida","Ommastrephidae","Illicinae","Illex",NA,"82520","itis",TRUE,FALSE,FALSE,FALSE
"Lafoea dumosa","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Leptothecatae","Lafoeidae",NA,"Lafoea","Lafoea dumosa","49682","itis",TRUE,FALSE,FALSE,FALSE
"Lagenorhynchus acutus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Mammalia",NA,"Cetacea","Delphinidae",NA,"Lagenorhynchus","Lagenorhynchus acutus","180443","itis",FALSE,FALSE,TRUE,FALSE
"Lamna nasus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Lamniformes","Lamnidae",NA,"Lamna","Lamna nasus","159911","itis",FALSE,FALSE,TRUE,TRUE
"Lamniformes","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Lamniformes",NA,NA,NA,NA,"159851","itis",FALSE,FALSE,TRUE,FALSE
"Laonice","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Spionida","Spionidae",NA,"Laonice",NA,"66784","itis",FALSE,TRUE,FALSE,FALSE
"Laonice cirrata","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Spionida","Spionidae",NA,"Laonice","Laonice cirrata","66785","itis",TRUE,FALSE,FALSE,FALSE
"Laonice sarsi","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Spionida","Spionidae",NA,"Laonice","Laonice sarsi","204499","itis",TRUE,FALSE,FALSE,FALSE
"Leptasterias littoralis","Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Forcipulatacea","Forcipulatida","Asteriidae",NA,"Leptasterias","Leptasterias littoralis","157248","itis",TRUE,FALSE,FALSE,FALSE
"Leptasterias polaris","Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Forcipulatacea","Forcipulatida","Asteriidae",NA,"Leptasterias","Leptasterias polaris","157240","itis",TRUE,FALSE,FALSE,FALSE
"Leptoclinus maculatus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Stichaeidae",NA,"Leptoclinus","Leptoclinus maculatus","171603","itis",FALSE,FALSE,FALSE,TRUE
"Leptothecata","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Leptothecatae",NA,NA,NA,NA,"718926","itis",TRUE,FALSE,FALSE,FALSE
"Lestidiops ringens","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Cyclosquamata","Aulopiformes","Paralepididae",NA,"Lestidiops","Lestidiops ringens","644717","itis",FALSE,FALSE,FALSE,TRUE
"Leuckartiara nobilis","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Anthoathecatae","Pandeidae",NA,"Leuckartiara","Leuckartiara nobilis","49148","itis",TRUE,FALSE,FALSE,FALSE
"Leuckartiara octona","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Anthoathecatae","Pandeidae",NA,"Leuckartiara","Leuckartiara octona","49146","itis",TRUE,FALSE,FALSE,FALSE
"Leucoraja erinacea","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Rajiformes","Rajidae",NA,"Leucoraja","Leucoraja erinacea","564130","itis",TRUE,FALSE,TRUE,TRUE
"Leucoraja ocellata","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Rajiformes","Rajidae",NA,"Leucoraja","Leucoraja ocellata","564145","itis",FALSE,FALSE,TRUE,FALSE
"Limacina helicina","Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Gastropoda",NA,"Thecosomata","Limacinidae",NA,"Limacina","Limacina helicina","76340","itis",TRUE,FALSE,FALSE,FALSE
"Liparis gibbus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Liparidae",NA,"Liparis","Liparis gibbus","167561","itis",FALSE,FALSE,TRUE,FALSE
"Liparis inquilinus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Liparidae",NA,"Liparis","Liparis inquilinus","167577","itis",FALSE,FALSE,FALSE,TRUE
"Lophius americanus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Lophiiformes","Lophiidae",NA,"Lophius","Lophius americanus","164499","itis",TRUE,FALSE,TRUE,TRUE
"Loxosomella","Animalia","Bilateria","Protostomia","Kamptozoa",NA,NA,NA,"Entoprocta",NA,"Coloniales","Loxosomatidae",NA,"Loxosomella",NA,"708695","itis",FALSE,TRUE,FALSE,FALSE
"Lumpenus lampretaeformis","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Stichaeidae",NA,"Lumpenus","Lumpenus lampretaeformis","631023","itis",TRUE,FALSE,TRUE,TRUE
"Lycenchelys kolthoffi","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Zoarcidae",NA,"Lycenchelys","Lycenchelys kolthoffi","165246","itis",FALSE,FALSE,TRUE,TRUE
"Lycodes vahlii","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Zoarcidae",NA,"Lycodes","Lycodes vahlii","165284","itis",TRUE,FALSE,FALSE,FALSE
"Macoma calcarea","Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Bivalvia",NA,"Veneroida","Tellinidae",NA,"Macoma","Macoma calcarea","81035","itis",TRUE,FALSE,FALSE,FALSE
"Malacoraja kreffti","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Rajiformes","Rajidae",NA,"Malacoraja","Malacoraja kreffti","564228","itis",FALSE,FALSE,FALSE,TRUE
"Maldane sarsi","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Maldanidae",NA,"Maldane","Maldane sarsi","67536","itis",TRUE,FALSE,FALSE,FALSE
"Maxillopoda","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda",NA,NA,NA,NA,NA,NA,"621145","itis",FALSE,TRUE,FALSE,FALSE
"Meganyctiphanes norvegica","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Euphausiacea","Euphausiidae",NA,"Meganyctiphanes","Meganyctiphanes norvegica","95534","itis",TRUE,FALSE,FALSE,FALSE
"Megaptera novaeangliae","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Mammalia",NA,"Cetacea","Balaenopteridae",NA,"Megaptera","Megaptera novaeangliae","180530","itis",TRUE,FALSE,TRUE,FALSE
"Melanogrammus aeglefinus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Gadinae","Melanogrammus","Melanogrammus aeglefinus","164744","itis",TRUE,FALSE,FALSE,TRUE
"Melicertum octocostatum","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Leptothecatae","Melicertidae",NA,"Melicertum","Melicertum octocostatum","50547","itis",TRUE,FALSE,FALSE,FALSE
"Melinna cristata","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Terebellida","Ampharetidae",NA,"Melinna","Melinna cristata","67763","itis",TRUE,FALSE,FALSE,FALSE
"Membranipora membranacea","Animalia","Bilateria","Protostomia","Bryozoa",NA,NA,NA,"Gymnolaemata",NA,"Cheilostomata","Membraniporidae",NA,"Membranipora","Membranipora membranacea","155824","itis",TRUE,FALSE,FALSE,FALSE
"Merluccius albidus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Merlucciidae","Merlucciinae","Merluccius","Merluccius albidus","164793","itis",TRUE,FALSE,TRUE,TRUE
"Merluccius bilinearis","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Merlucciidae","Merlucciinae","Merluccius","Merluccius bilinearis","164791","itis",TRUE,FALSE,TRUE,TRUE
"Metridia lucens","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Metridinidae",NA,"Metridia","Metridia lucens","85741","itis",TRUE,FALSE,FALSE,FALSE
"Metridium","Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Actiniaria","Metridiidae",NA,"Metridium",NA,"52736","itis",TRUE,FALSE,TRUE,FALSE
"Mitrocomella polydiademata","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Leptothecatae","Mitrocomidae",NA,"Mitrocomella","Mitrocomella polydiademata","50459","itis",TRUE,FALSE,FALSE,FALSE
"Molgula complanata","Animalia","Bilateria","Deuterostomia","Chordata","Urochordata",NA,NA,"Ascidiacea",NA,"Pleurogona","Molgulidae",NA,"Molgula","Molgula complanata","159568","itis",FALSE,TRUE,FALSE,FALSE
