"call","kingdom","subkingdom","infrakingdom","phylum","subphylum","infraphylum","superclass","class","superorder","order","family","subfamily","genus","species","taxID","db","CO1","m18s","m12s","m16s"
"Zoarces americanus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Zoarcidae",NA,"Zoarces","Zoarces americanus","630979","itis",TRUE,FALSE,TRUE,TRUE
"Amphicorina ascidicola","Animalia",NA,NA,"Annelida",NA,NA,NA,"Polychaeta",NA,"Sabellida","Sabellidae",NA,"Amphicorina","Amphicorina ascidicola","6785213","gbif",FALSE,TRUE,FALSE,FALSE
"Anoecia fulviabdominalis","Animalia",NA,NA,"Arthropoda",NA,NA,NA,"Insecta",NA,"Hemiptera","Aphididae",NA,"Anoecia","Anoecia fulviabdominalis","2076113","gbif",TRUE,FALSE,FALSE,FALSE
"Arrenoseius","Animalia",NA,NA,"Arthropoda",NA,NA,NA,"Arachnida",NA,"Mesostigmata","Phytoseiidae",NA,"Arrenoseius",NA,"2187630","gbif",FALSE,TRUE,FALSE,FALSE
"Bucculatrix ainsliella","Animalia",NA,NA,"Arthropoda",NA,NA,NA,"Insecta",NA,"Lepidoptera","Bucculatricidae",NA,"Bucculatrix","Bucculatrix ainsliella","1751299","gbif",TRUE,FALSE,FALSE,FALSE
"Dermatophagoides","Animalia",NA,NA,"Arthropoda",NA,NA,NA,"Arachnida",NA,"Sarcoptiformes","Pyroglyphidae",NA,"Dermatophagoides",NA,"2181957","gbif",TRUE,FALSE,FALSE,FALSE
"Epizoanthus arenaceus","Animalia",NA,NA,"Cnidaria",NA,NA,NA,"Anthozoa",NA,"Zoantharia","Epizoanthidae",NA,"Epizoanthus","Epizoanthus arenaceus","2258049","gbif",TRUE,FALSE,FALSE,FALSE
"Eurypon clavigerum","Animalia",NA,NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Axinellida","Raspailiidae",NA,"Eurypon","Eurypon clavigerum","2243812","gbif",TRUE,FALSE,FALSE,FALSE
"Fulvia mutica","Animalia",NA,NA,"Mollusca",NA,NA,NA,"Bivalvia",NA,"Cardiida","Cardiidae",NA,"Fulvia","Fulvia mutica","5729188","gbif",FALSE,TRUE,FALSE,FALSE
"Halichondria coerulea","Animalia",NA,NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Suberitida","Halichondriidae",NA,"Halichondria","Halichondria coerulea","2249998","gbif",TRUE,FALSE,FALSE,FALSE
"Halocynthia roretzi","Animalia",NA,NA,"Chordata",NA,NA,NA,"Ascidiacea",NA,"Stolidobranchia","Pyuridae",NA,"Halocynthia","Halocynthia roretzi","2331879","gbif",FALSE,TRUE,FALSE,FALSE
"Leaena ebranchiata","Animalia",NA,NA,"Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Terebellidae",NA,"Leaena","Leaena ebranchiata","5716210","gbif",TRUE,FALSE,FALSE,FALSE
"Orfelia nemoralis","Animalia",NA,NA,"Arthropoda",NA,NA,NA,"Insecta",NA,"Diptera","Keroplatidae",NA,"Orfelia","Orfelia nemoralis","1564638","gbif",TRUE,FALSE,FALSE,FALSE
"Oscarella balibaloi","Animalia",NA,NA,"Porifera",NA,NA,NA,"Homoscleromorpha",NA,"Homosclerophorida","Oscarellidae",NA,"Oscarella","Oscarella balibaloi","5964035","gbif",TRUE,FALSE,FALSE,FALSE
"Oscarella viridis","Animalia",NA,NA,"Porifera",NA,NA,NA,"Homoscleromorpha",NA,"Homosclerophorida","Oscarellidae",NA,"Oscarella","Oscarella viridis","2244601","gbif",TRUE,FALSE,FALSE,FALSE
"Parvicirrus dubius","Animalia",NA,NA,"Nemertea",NA,NA,NA,"Pilidiophora",NA,"Heteronemertea","Lineidae",NA,"Parvicirrus","Parvicirrus dubius","2508702","gbif",TRUE,FALSE,FALSE,FALSE
